cik,company,period_of_report,gvkey,datadate,filename,can_label,qualified,label,bankruptcy_prediction_split,bankruptcy_date_1,bankruptcy_date_2,bankruptcy_date_3,filing_date,cik_year,gc_list,year,accessionNumber,form,primaryDocument,isXBRL,reportDateIndex,revenue,sga_expenses,gross_profit,cost_of_goods_sold,operating_expenses,operating_income,interest_expense,pretax_income,income_taxes,net_income,earnings_per_share_basic,earnings_per_share_diluted,goodwill,assets,current_assets,noncurrent_assets,cash_and_cash_equivalents,short_term_investments,accounts_receivable,inventory,property_plant_and_equipment_net,accounts_payable,current_liabilities,long_term_debt,noncurrent_liabilities,liabilities,net_cash_from_operating_activities,net_cash_from_investing_activities,net_cash_from_financing_activities,cash_end_of_period,depreciation_and_amortization,capital_expenditures,accumulated_other_comprehensive_income,stockholders_equity
1750,AAR CORP,2010-05-31,1004,31/05/2010,/2010/1750_10K_2010_0001047469-10-006500.json,True,Yes,False,train,,,,2010-07-16,1750__2010,[],2010,0001047469-10-006500,10-K,a2199382z10-k.htm,0,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,AAR CORP,2011-05-31,1004,31/05/2011,/2011/1750_10K_2011_0001047469-11-006302.json,True,Yes,False,train,,,,2011-07-13,1750__2011,[],2011,0001047469-11-006302,10-K,a2204709z10-k.htm,1,73,546462000.000000,173599000.000000,,412232000.000000,1646321000.000000,138727000.000000,30670000.000000,69826000.000000,35364000.000000,69826000.000000,1.760000,1.730000,,1703727000.000000,913985000.000000,38260000.000000,57433000.000000,416010000.000000,287435000.000000,48743000.000000,324377000.000000,185096000.000000,416010000.000000,823000.000000,24304000.000000,835845000.000000,108598000.000000,2293000.000000,-11827000.000000,650000.000000,59296000.000000,124879000.000000,,835289000.000000
1750,AAR CORP,2012-05-31,1004,31/05/2012,/2012/1750_10K_2012_0001047469-12-007300.json,True,Yes,False,train,,,,2012-07-19,1750__2012,[],2012,0001047469-12-007300,10-K,a2210166z10-k.htm,1,992,680774000.000000,189397000.000000,,534117000.000000,1935838000.000000,130702000.000000,37772000.000000,67723000.000000,25480000.000000,68029000.000000,1.680000,1.650000,,2195653000.000000,1063272000.000000,669404000.000000,67720000.000000,473226000.000000,302056000.000000,49892000.000000,382933000.000000,201405000.000000,473226000.000000,823000.000000,71008000.000000,864649000.000000,306843000.000000,814000.000000,306843000.000000,650000.000000,80333000.000000,91218000.000000,,866022000.000000
1750,AAR CORP,2013-05-31,1004,31/05/2013,/2013/1750_10K_2013_0001047469-13-007797.json,True,Yes,False,train,,,,2013-07-26,1750__2013,[],2013,0001047469-13-007797,10-K,a2216052z10-k.htm,1,893,908800000.000000,198400000.000000,,707600000.000000,2021500000.000000,122600000.000000,41600000.000000,55000000.000000,26700000.000000,55500000.000000,1.380000,1.380000,255600000.000000,2136900000.000000,1033700000.000000,60100000.000000,75300000.000000,389000000.000000,297400000.000000,31800000.000000,361700000.000000,149300000.000000,389000000.000000,622200000.000000,68000000.000000,918600000.000000,162900000.000000,1100000.000000,-4400000.000000,21300000.000000,79700000.000000,37600000.000000,,919500000.000000
1750,AAR CORP,2014-05-31,1004,31/05/2014,/2014/1750_10K_2014_0001047469-14-006243.json,True,Yes,False,train,,,,2014-07-17,1750__2014,[],2014,0001047469-14-006243,10-K,a2220733z10-k.htm,1,803,808700000.000000,197600000.000000,,626400000.000000,1892400000.000000,145700000.000000,42000000.000000,72900000.000000,32100000.000000,73200000.000000,1.850000,1.830000,261700000.000000,2199500000.000000,1116900000.000000,81600000.000000,89200000.000000,402100000.000000,283100000.000000,29900000.000000,314900000.000000,171100000.000000,402100000.000000,564300000.000000,70200000.000000,999500000.000000,139800000.000000,900000.000000,700000.000000,15300000.000000,80400000.000000,26500000.000000,,1000700000.000000
1750,AAR CORP,2015-05-31,1004,31/05/2015,/2015/1750_10K_2015_0001047469-15-006136.json,True,Yes,False,train,,,,2015-07-15,1750__2015,[],2015,0001047469-15-006136,10-K,a2225345z10-k.htm,1,719,702900000.000000,171400000.000000,,598500000.000000,1606400000.000000,-11900000.000000,26500000.000000,10200000.000000,-28500000.000000,10200000.000000,0.260000,0.240000,123500000.000000,1515000000.000000,954100000.000000,28400000.000000,54700000.000000,412000000.000000,229000000.000000,20500000.000000,214800000.000000,142300000.000000,412000000.000000,85000000.000000,68300000.000000,845100000.000000,-43000000.000000,40300000.000000,-200000.000000,1000000.000000,69100000.000000,46300000.000000,,845100000.000000
1750,AAR CORP,2016-05-31,1004,31/05/2016,/2016/1750_10K_2016_0001047469-16-014299.json,True,Yes,False,test,,,,2016-07-13,1750__2016,[],2016,0001047469-16-014299,10-K,a2228768z10-k.htm,1,645,761200000.000000,170800000.000000,,668500000.000000,1596500000.000000,65800000.000000,6400000.000000,47700000.000000,18800000.000000,47700000.000000,1.370000,1.370000,117300000.000000,1442100000.000000,873100000.000000,27900000.000000,31200000.000000,329000000.000000,242700000.000000,15000000.000000,232800000.000000,163400000.000000,329000000.000000,136100000.000000,76900000.000000,76900000.000000,32100000.000000,3800000.000000,1400000.000000,30400000.000000,50000000.000000,88400000.000000,,865800000.000000
1750,AAR CORP,2017-05-31,1004,31/05/2017,/2017/1750_10K_2017_0001047469-17-004528.json,True,Yes,False,test,,,,2017-07-12,1750__2017,[],2017,0001047469-17-004528,10-K,a2232622z10-k.htm,1,573,811000000.000000,196700000.000000,,690400000.000000,1687800000.000000,79600000.000000,5500000.000000,56500000.000000,24100000.000000,56500000.000000,1.660000,1.640000,115400000.000000,1504100000.000000,888500000.000000,25700000.000000,10300000.000000,335100000.000000,251400000.000000,483100000.000000,201900000.000000,177400000.000000,335100000.000000,155300000.000000,62300000.000000,62300000.000000,21800000.000000,2700000.000000,6900000.000000,12500000.000000,52900000.000000,33600000.000000,,914200000.000000
1750,AAR CORP,2018-05-31,1004,31/05/2018,/2018/1750_10K_2018_0001047469-18-004978.json,True,Yes,False,test,,,,2018-07-11,1750__2018,[],2018,0001047469-18-004978,10-K,a2236183z10-k.htm,1,500,707600000.000000,208600000.000000,,613200000.000000,1662300000.000000,86000000.000000,8000000.000000,15600000.000000,3500000.000000,15600000.000000,0.440000,0.410000,118700000.000000,1524700000.000000,942700000.000000,26200000.000000,10500000.000000,333300000.000000,202000000.000000,460700000.000000,133200000.000000,170000000.000000,333300000.000000,177200000.000000,62200000.000000,62200000.000000,64300000.000000,2300000.000000,-300000.000000,22900000.000000,40500000.000000,22000000.000000,,936300000.000000
1750,AAR CORP,2019-05-31,1004,31/05/2019,/2019/1750_10K_2019_0001047469-19-004266.json,True,Yes,False,test,,,,2019-07-18,1750__2019,[],2019,0001047469-19-004266,10-K,a2239223z10-k.htm,1,437,2051800000.000000,215400000.000000,,1722300000.000000,1953500000.000000,98300000.000000,9500000.000000,7500000.000000,4900000.000000,7500000.000000,0.200000,0.210000,116200000.000000,1517200000.000000,952500000.000000,36200000.000000,19800000.000000,357500000.000000,197800000.000000,523700000.000000,132800000.000000,187800000.000000,28300000.000000,141700000.000000,28300000.000000,28300000.000000,67400000.000000,600000.000000,-300000.000000,2300000.000000,42800000.000000,17400000.000000,,905900000.000000
1750,AAR CORP,2020-05-31,1004,31/05/2020,/2020/1750_10K_2020_0001104659-20-085310.json,True,Yes,False,test,,,,2020-07-21,1750__2020,[],2020,0001104659-20-085310,10-K,air-20200531x10k.htm,1,370,2072000000.000000,220600000.000000,,,2028800000.000000,-2100000.000000,9300000.000000,4400000.000000,-2100000.000000,4400000.000000,0.120000,0.130000,115700000.000000,2079000000.000000,1438700000.000000,77200000.000000,20000000.000000,383100000.000000,171900000.000000,623100000.000000,135700000.000000,191600000.000000,34400000.000000,600000000.000000,34400000.000000,34400000.000000,-36100000.000000,2800000.000000,-1300000.000000,2300000.000000,43700000.000000,23600000.000000,,902600000.000000
1750,AAR CORP,2021-05-31,1004,31/05/2021,/2021/1750_10K_2021_0001104659-21-094125.json,True,Yes,False,test,,,,2021-07-21,1750__2021,[],2021,0001104659-21-094125,10-K,air-20210531x10k.htm,1,295,1652300000.000000,182400000.000000,,,1567300000.000000,4300000.000000,5000000.000000,35800000.000000,4300000.000000,35800000.000000,1.010000,1.000000,,1539700000.000000,937000000.000000,98800000.000000,8400000.000000,336800000.000000,166700000.000000,540600000.000000,120000000.000000,127200000.000000,29500000.000000,133700000.000000,29500000.000000,29500000.000000,105200000.000000,-800000.000000,-1300000.000000,108500000.000000,36300000.000000,11300000.000000,,974400000.000000
