accession_number,isXBRL,cost_of_goods_sold,operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted,pretax_income,net_income,income_taxes,interest_expense,revenue,sga_expenses,accounts_payable,accounts_receivable,current_liabilities,noncurrent_liabilities,property_plant_and_equipment_net,assets,noncurrent_assets,current_assets,short_term_investments,long_term_debt,cash_and_cash_equivalents,liabilities,inventory,cash_end_of_period,depreciation_and_amortization,net_cash_from_financing_activities,net_cash_from_operating_activities,net_cash_from_investing_activities,capital_expenditures,stockholders_equity,goodwill
0001047469-11-006302,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,NonrecourseLongTermDebtCurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,
0001047469-12-007300,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,RecourseLongTermDebtNoncurrent,AssetsCurrent,LiabilitiesCurrent,NonrecourseLongTermDebtCurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,
0001047469-13-007797,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-14-006243,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-15-006136,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-16-014299,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-17-004528,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-18-004978,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001047469-19-004266,1,CostOfGoodsAndServicesSold,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001104659-20-085310,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,ReceivablesNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill
0001104659-21-094125,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,ReceivablesNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,
